bin,brand,type,level,bank,country
463131,VISA,DEBIT,PREPAID CLASSIC,WILSON & MUIR BANK & TRUST COMPANY,UNITED STATES
463132,VISA,DEBIT,BUSINESS,COMMUNITY NATIONAL BANK & TRUST,UNITED STATES
463133,VISA,DEBIT,BUSINESS,"WESTFIELD BANK, F.S.B.",UNITED STATES
463134,VISA,DEBIT,CLASSIC,CITY NATIONAL BANK,UNITED STATES
463135,VISA,DEBIT,BUSINESS,CITY NATIONAL BANK,UNITED STATES
463136,VISA,DEBIT,BUSINESS,TRUE SKY FEDERAL CREDIT UNION,UNITED STATES
463137,VISA,DEBIT,BUSINESS,METROPOLITAN CAPITAL BANK,UNITED STATES
463138,VISA,DEBIT,PREPAID,,UNITED STATES
463139,VISA,DEBIT,CLASSIC,FIRST NATIONAL BANK OF ALLENDALE,UNITED STATES
463140,VISA,DEBIT,CLASSIC,PLAINSCAPITAL BANK,UNITED STATES
463141,VISA,DEBIT,CLASSIC,HOPE FEDERAL CREDIT UNION,UNITED STATES
463142,VISA,CREDIT,,,UNITED STATES
463143,VISA,DEBIT,CLASSIC,"BIG BEND BANKS, N.A.",UNITED STATES
463144,VISA,CREDIT,TRADITIONAL,AFFINITY BANK,UNITED STATES
463145,VISA,DEBIT,BUSINESS,PEOPLESBANK,UNITED STATES
463146,VISA,CREDIT,,,UNITED STATES
463147,VISA,DEBIT,CLASSIC,CITIZENS NATIONAL BANK AT BROWNWOOD,UNITED STATES
463148,VISA,DEBIT,CLASSIC,GRAND RIVERS COMMUNITY BANK,UNITED STATES
463149,VISA,DEBIT,CLASSIC,"AMERICAN SAVINGS BANK, F.S.B.",UNITED STATES
463150,VISA,DEBIT,CLASSIC,SENB BANK,UNITED STATES
463151,VISA,CREDIT,TRADITIONAL,U.S. BANK NATIONAL ASSOCIATION-CREDIT,UNITED STATES
463152,VISA,CREDIT,TRADITIONAL,U.S. BANK NATIONAL ASSOCIATION-CREDIT,UNITED STATES
463153,VISA,CREDIT,TRADITIONAL,WEBBANK,UNITED STATES
463154,VISA,CREDIT,,,UNITED STATES
463155,VISA,CREDIT,CLASSIC,CENLA FEDERAL CREDIT UNION,UNITED STATES
463156,VISA,CREDIT,BUSINESS,SUNTRUST BANK,UNITED STATES
463157,VISA,CREDIT,CLASSIC,METROPOLITAN CAPITAL BANK,UNITED STATES
463158,VISA,DEBIT,CLASSIC,"PNC BANK, NATIONAL ASSOCIATION",UNITED STATES
463159,VISA,DEBIT,CLASSIC,FULTON BANK,UNITED STATES
463160,VISA,DEBIT,BUSINESS,NBT FINANCIAL BANK,UNITED STATES
463161,VISA,DEBIT,PREPAID CLASSIC,"THE BANCORP BANK, NATIONAL ASSOCIATION",UNITED STATES
463162,VISA,DEBIT,PREPAID,,UNITED STATES
463163,VISA,DEBIT,PREPAID,BBVA USA,UNITED STATES
463164,VISA,DEBIT,PREPAID WORKPLACE BENEFITS,NATIONAL BANK OF COMMERCE,UNITED STATES
463165,VISA,CREDIT,TRADITIONAL,FIRST SERVICE FEDERAL CREDIT UNION,UNITED STATES
463166,VISA,CREDIT,SIGNATURE,BBVA USA,UNITED STATES
463167,VISA,DEBIT,CLASSIC,"COMMERCE BANCSHARES, INC.",UNITED STATES
463168,VISA,DEBIT,CLASSIC,"COMMERCE BANCSHARES, INC.",UNITED STATES
463169,VISA,DEBIT,PLATINUM,"COMMERCE BANCSHARES, INC.",UNITED STATES
463170,VISA,CREDIT,,BBVA USA,UNITED STATES
463171,VISA,CREDIT,,WESTPAC BANKING CORPORATION,AUSTRALIA
463172,VISA,CREDIT,,WESTPAC BANKING CORPORATION,AUSTRALIA
463173,VISA,CREDIT,,WESTPAC BANKING CORPORATION,AUSTRALIA
463174,VISA,CREDIT,,WESTPAC BANKING CORPORATION,AUSTRALIA
463175,VISA,CREDIT,,WESTPAC BANKING CORPORATION,AUSTRALIA
463176,VISA,CREDIT,,WESTPAC BANKING CORPORATION,AUSTRALIA
463177,VISA,CREDIT,,WESTPAC BANKING CORPORATION,AUSTRALIA
463178,VISA,DEBIT,CLASSIC,MARQUETTE COMMUNITY FEDERAL CREDIT UNION,UNITED STATES
463179,VISA,DEBIT,,BANCO DE LA NACION,PERU
463180,VISA,CREDIT,,BBVA USA,UNITED STATES
463181,VISA,CREDIT,,BBVA USA,UNITED STATES
463182,VISA,CREDIT,,BBVA USA,UNITED STATES
463183,VISA,CREDIT,,,UNITED STATES
463184,VISA,DEBIT,CLASSIC,UAB FINANSINES PASLAUGOS CONTIS,SWEDEN
463185,VISA,DEBIT,CLASSIC,UAB FINANSINES PASLAUGOS CONTIS,LITHUANIA
463186,VISA,CREDIT,PLATINUM,BANCO INVEX S.A. INSTITUCION DE BANCA MULTIPLE,MEXICO
463187,VISA,DEBIT,PREPAID COMMERCIAL TRANSPORT,"REPOM, S.A.",BRAZIL
463188,VISA,DEBIT,PREPAID CLASSIC,"BANCO PICHINCHA, S.A.",COLOMBIA
463189,VISA,DEBIT,CLASSIC,UAB FINANSINES PASLAUGOS CONTIS,SWEDEN
463190,VISA,DEBIT,CLASSIC,UAB FINANSINES PASLAUGOS CONTIS,SWEDEN
463191,VISA,CREDIT,TRADITIONAL REWARDS,FIRST NATIONAL BANK OF PENNSYLVANIA,UNITED STATES
463192,VISA,DEBIT,BUSINESS,IOWA CREDIT UNION LEAGUE,UNITED STATES
463193,VISA,DEBIT,CLASSIC,MERCHANTS & PLANTERS' BANK,UNITED STATES
463194,VISA,DEBIT,CLASSIC,"COMMUNITY FIRST CREDIT UNION, LTD.",AUSTRALIA
463195,VISA,DEBIT,GOLD,VICTORIABANK,"MOLDOVA, REPUBLIC OF"
